EVENT_ID,EVENT_CATEGORY,EVENT_TEXT,EVENT_TAG,EVENT_DESCRIPTION,EVENT_IMAGE,EVENT_PRIZE,EVENT_REGISTRATION,EVENT_RULES,EVENT_CONTACTS
SCA2018,LITERARY,Literary Scavenger Hunt,Literary,"Hunting goes “literally” mind boggling this year at Echoes Carnival '18 with the Scavenger hunt - clues and tasks, all clubbed together to make it all exciting. Think of all the Classics you have read and get ready to learn about literature in a new way. So, put your thinking caps on, pull up your socks and get ready for the Hunt!!",img/events/scavenger.jpg,To be declared,Registration for this event is Online/On-the-spot,"<ul class='browser-default' style='text-align:left'><li>Team can have 2 or 3 members</li><li>All participating teams will be given a lit based quiz at a common starting point</li><li>Thereafter, the teams are given clues to reach the subsequent destination where certain tasks need to be completed</li><li>Each completed task ensures next clue to the destination </li><li>The 3 fastest teams to solve all tasks and reach the final destination win </li><li>Participants must be currently studying in any recognized college, and should carry a valid College ID card</li><li>Decision of the judges for all rounds will be final and binding</li><li>At any point, the Organizing committee reserves the right to modify the event</li></ul>","Parul Trivedi (+91-9048052689)<br>Dinesh Balaji K (+91-7034773210)
"
FAO2018,FINE_ARTS,Face Off  ,Face Painting,"Inspired by the traditional Kerala dance form – Kathakali, we invite  the creative genius in you to come up with your best ideas along the lines of our theme “Interstellar” and, armed with paints and brushes,  transform your teammate's face into a work of art!",img/events/faceoff.jpg,To be declared,Registration for this event is Online/On-the-spot,"<ul class='browser-default' style='text-align:left'><li>Participants to register in teams of 2 (one paints, the other plays the subject)</li><li>Participants are required to paint/tattoo the face/body of the other team member</li><li>Participants will be provided with colours, paints, etc</li><li>Participants may carry their own colouring materials which will have to be approved by the organizers</li><li>Only 1 entry per participant will be considered</li><li>Multiple teams per college is allowed</li><li>The time limit for this event would be 1 hr.</li><li>Participants must be currently studying in any recognized college, and should carry a valid College ID card</li><li>Decision of the judges for all rounds will be final and binding</li><li>At any point, the Organizing committee reserves the right to modify the event</li></ul>",Jatin Bhoj (+91–9907796798)<br>Akshay Kumar (+91–9177777851)
MAN2018,FINE_ARTS,Maniart ,The Art Marathon,"Echoes'18 presents its very own Art Triathlon, an event which is sure to bring out the versatility in you. A mix of art and craft skills is all that you need with the tenacity to endure the event and you are sure to bag exciting prizes! Use your creativity and dazzle us with designs that go beyond the spectrum!",img/events/maniart.jpg,To be declared,Registration for this event is Online/On-the-spot,"<ul class='browser-default' style='text-align:left'><li>Participants to register in teams of 3</li><li>Participants will be provided with the details of the tasks on the day of the event</li><li>Teams will be provided with all the necessary materials</li><li>Teams will be provided with all the necessary materials</li><li>Multiple teams per college is allowed</li><li>The time limit for this event would be 30 minutes.</li><li>Participants must be currently studying in any recognized college, and should carry a valid College ID card</li><li>Decision of the judges for all rounds will be final and binding</li><li>At any point, the Organizing committee reserves the right to modify the event</li></ul>",Jatin Bhoj (+91–9907796798)<br>Akshay Kumar (+91–9177777851)
LAT2018,INFORMALS,Live CS,Laser Tag,Your mission if you choose to accept:<br>“Eliminate the opposing team by any means necessary. You are free to choose your own team but a standard issue laser gun will be your only weapon. This message will self-destruct in next 5 seconds!!”,img/events/laser.jpg,&nbsp;,&nbsp;,Your mission if you choose to accept:<br>“Eliminate the opposing team by any means necessary. You are free to choose your own team but a standard issue laser gun will be your only weapon. This message will self-destruct in next 5 seconds!!”,Manish Tonk (+91-8800937406)<br>Sulagno Biswas (+91-8334861616)
CNB2018,INFORMALS,Crash n Burn ,LAN Gaming ,&nbsp;,img/events/crash.jpg,Prizes to be announced on the spot.,&nbsp;,"<ul class='browser-default' style='text-align:left'><li>Event Rules and Details : <a href='www.iimkechoes.com/Echoes-2012/informals_crashnburn_info_3_237028773.docx'>LAN Gaming Rule Book</a></li><li>Please carry your college id cards during the event, failing which the participant shall be debarred from the event.</li><li>In case of damage or mishandling caused by any participant to the college property the amount shall be recovered from the participant.</li></ul>",Manish Tonk (+91-8800937406)<br>Sulagno Biswas (+91-8334861616)
NUK2018,STREETPLAY,Nukkad,The Street Play,&nbsp;,img/events/agaaz.jpg,To be declared,Registration for this event is Online,"<ul class='browser-default' style='text-align:left'><li>Time limit: Maximum of 20 mins (including ground clearing time)  </li><li>The script must be original </li><li> Plays can be based on any theme but since eliminations are being held at public venues, inappropriate content, blasphemy or content defaming any political party or religious group is STRICTLY prohibited. </li><li>The essence of the play should be brought out in Hindi or English or both. However, short snippets in other regional languages are allowed.</li><li> Teams are expected to perform at the open air venue, on a circular stage with audience on all sides. </li><li>Judges’ decision is final and binding</li></ul>",TBD
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
